dataset,model,seed,macro_auroc,mAP,alignment,uniformity,effective_rank,params,final_loss,secs
yeast,kan,42,0.6839534017045382,0.4696629416727438,0.30300891399383545,-3.546978712081909,49.30149841308594,339840,2.542224168777466,10.1
yeast,mlp,42,0.7170924453565803,0.5138672218396106,0.21848689019680023,-3.6437859535217285,44.0642204284668,339256,2.2505437987191335,2.1
yeast,kan,1337,0.6687901322717266,0.46323409436129576,0.300398051738739,-3.542996406555176,49.33256149291992,339840,2.5698623657226562,8.8
yeast,mlp,1337,0.7221980395322322,0.5070182680266329,0.2148049920797348,-3.6379454135894775,44.03608322143555,339256,2.2663832562310353,2.1
yeast,kan,2024,0.691095023252612,0.469105028226946,0.3024681806564331,-3.5053813457489014,49.00028610229492,339840,2.580357074737549,8.8
yeast,mlp,2024,0.7331650715720731,0.5196740782684653,0.22017523646354675,-3.6512351036071777,43.87897491455078,339256,2.26082135949816,2.1
scene,kan,42,0.9295938193185921,0.804821362121248,0.22203770279884338,-3.3814992904663086,46.617286682128906,559872,2.476759910583496,11.2
scene,mlp,42,0.9394361652443024,0.8371004297797614,0.12118631601333618,-3.6935343742370605,48.54254150390625,560564,2.0003009353365218,2.8
scene,kan,1337,0.9387624595876845,0.8150545945812375,0.21511627733707428,-3.378507375717163,46.41130065917969,559872,2.45016918863569,11.1
scene,mlp,1337,0.9418461988285167,0.8334745421128235,0.12071963399648666,-3.6740617752075195,48.38758850097656,560564,1.9969768013272966,2.7
scene,kan,2024,0.9329137600344805,0.8130236937825854,0.21315410733222961,-3.40866756439209,46.58666229248047,559872,2.4837118898119246,11.1
scene,mlp,2024,0.9392350942982235,0.8327916858404735,0.11843755841255188,-3.6903250217437744,48.37598419189453,560564,1.9949021680014474,2.7
emotions,kan,42,0.8220790728952672,0.6871727751992366,0.4772937297821045,-3.289597749710083,48.23996353149414,304128,2.6758320331573486,2.2
emotions,mlp,42,0.8272787903270453,0.6557445785890433,0.3034345805644989,-3.353936195373535,34.471710205078125,304439,2.3420270681381226,0.5
emotions,kan,1337,0.835601346547739,0.6982771588298742,0.48504742980003357,-3.322535276412964,48.58124923706055,304128,2.663533568382263,2.2
emotions,mlp,1337,0.8168826914185746,0.644402713504436,0.28829413652420044,-3.352506637573242,35.4105224609375,304439,2.318723201751709,0.6
emotions,kan,2024,0.8182074834437497,0.6721608255067347,0.4833616018295288,-3.297936201095581,48.51714324951172,304128,2.729958176612854,2.2
emotions,mlp,2024,0.8383067931548546,0.6760334287486831,0.30267882347106934,-3.3437116146087646,34.90700912475586,304439,2.3334503173828125,0.6
mediamill,kan,42,0.6954173116180183,0.10350911498742485,0.153519868850708,-3.6731514930725098,55.2706413269043,359424,2.1949715465307236,23.0
mediamill,mlp,42,0.5943011139966233,0.0815721675796613,0.13359549641609192,-3.5817441940307617,45.0377082824707,359864,2.225435435771942,6.9
mediamill,kan,1337,0.7203288756493936,0.10196828040895793,0.15210862457752228,-3.6764702796936035,55.708648681640625,359424,2.195307821035385,23.0
mediamill,mlp,1337,0.6083967473124609,0.08338542009982614,0.12328074127435684,-3.584210157394409,44.950740814208984,359864,2.234944887459278,6.9
mediamill,kan,2024,0.7128187183924142,0.10533931910851244,0.154299795627594,-3.65541410446167,54.977561950683594,359424,2.2101216465234756,22.9
mediamill,mlp,2024,0.5892093858150002,0.08201080087063188,0.12645922601222992,-3.5931897163391113,46.3497314453125,359864,2.204488754272461,6.8
bibtex,kan,42,0.877889742919296,0.19861120257576534,0.27454322576522827,-3.5866026878356934,53.9238395690918,2336256,2.4202133864164352,87.1
bibtex,mlp,42,0.7868366346225043,0.2140503477767203,0.2315625250339508,-3.7820968627929688,61.64154052734375,2335663,1.8828947246074677,20.8
bibtex,kan,1337,0.8821993729491678,0.2142083118703739,0.27192285656929016,-3.5732009410858154,52.970462799072266,2336256,2.4438959807157516,87.5
bibtex,mlp,1337,0.7776876098458945,0.19942921680863282,0.24652719497680664,-3.7804787158966064,61.78679275512695,2335663,1.884784273803234,21.3
bibtex,kan,2024,0.8830808625094833,0.20807307578268586,0.26572906970977783,-3.5836498737335205,54.236732482910156,2336256,2.4286240488290787,90.1
bibtex,mlp,2024,0.7871066396970541,0.17904984087162476,0.23990318179130554,-3.77660870552063,61.80818557739258,2335663,1.8754462897777557,22.6
